Source,Target
"The company's figures imply that when you have burnt 99.9999 per cent of a 30,000-tonne annual throughput, a figure of 0.03 of a tonne <b>remnant</b>.",remains
"The company's figures imply that when you have burnt 99.9999 per cent of a 30,000-tonne annual throughput, a figure of 0.03 of a tonne <b>lingers</b>.",remains
"In 1986, according to Friends of the Earth, a survey of the homes clustered on the surrounding hills <b>discovered</b> that three-quarters of 800 residents were opposed to the Rechem plant.",found
"In 1986, according to Friends of the Earth, a survey of the homes clustered on the surrounding hills <b>declared</b> that three-quarters of 800 residents were opposed to the Rechem plant.",found
"In 1986, according to Friends of the Earth, a survey of the homes clustered on the surrounding hills <b>illustrated</b> that three-quarters of 800 residents were opposed to the Rechem plant.",found
"In 1986, according to Friends of the Earth, a survey of the homes clustered on the surrounding hills found that three-quarters of 800 residents were opposed to the Rechem <b>factory</b>.",plant
"In 1986, according to Friends of the Earth, a survey of the homes clustered on the surrounding hills found that three-quarters of 800 residents were opposed to the Rechem <b>building</b>.",plant
"In 1986, according to Friends of the Earth, a survey of the homes clustered on the surrounding hills found that three-quarters of 800 residents were opposed to the Rechem <b>generator</b>.",plant
Regular soil and grass tests <b>demonstrated</b> no difference between PCB contamination in the immediate area and elsewhere in Wales â€” though there are no established â€˜safeâ€™ levels for these.,showed
Regular soil and grass tests <b>displayed</b> no difference between PCB contamination in the immediate area and elsewhere in Wales â€” though there are no established â€˜safeâ€™ levels for these.,showed
Regular soil and grass tests <b>exhibited</b> no difference between PCB contamination in the immediate area and elsewhere in Wales â€” though there are no established â€˜safeâ€™ levels for these.,showed
Regular soil and grass tests <b>revealed</b> no difference between PCB contamination in the immediate area and elsewhere in Wales â€” though there are no established â€˜safeâ€™ levels for these.,showed
Regular soil and grass tests <b>conveyed</b> no difference between PCB contamination in the immediate area and elsewhere in Wales â€” though there are no established â€˜safeâ€™ levels for these.,showed
Regular soil and grass tests showed no difference between PCB contamination in the immediate area and elsewhere in Wales â€” though there are no established â€˜safeâ€™ <b>amounts</b> for these.,levels
Regular soil and grass tests showed no difference between PCB contamination in the immediate area and elsewhere in Wales â€” though there are no established â€˜safeâ€™ <b>numbers</b> for these.,levels
Regular soil and grass tests showed no difference between PCB contamination in the immediate area and elsewhere in Wales â€” though there are no established â€˜safeâ€™ <b>measurements</b> for these.,levels
Regular soil and grass tests showed no difference between PCB contamination in the immediate area and elsewhere in Wales â€” though there are no established â€˜safeâ€™ <b>grades</b> for these.,levels
"They, too, reacted with water, and a <b>factory</b> operator was burned by a cloud of acid gas.",plant
"They, too, reacted with water, and a <b>machinery</b> operator was burned by a cloud of acid gas.",plant
"They, too, reacted with water, and a <b>machine</b> operator was burned by a cloud of acid gas.",plant
I might drop a pipe â€” a little <b>speck</b> of a splash.â€™,bit
I might drop a pipe â€” a little <b>fragment</b> of a splash.â€™,bit
I might drop a pipe â€” a little <b>touch</b> of a splash.â€™,bit
I might drop a pipe â€” a little <b>dash</b> of a splash.â€™,bit
I might drop a pipe â€” a little <b>sound</b> of a splash.â€™,bit
"In a large, prefabricated shed we wandered past stacks of 45-gallon drums of PCBs, two drums high, about 10 deep; and there were contaminated transformers waiting to be <b>chopped</b> up and roasted in the flames.",cut
"In a large, prefabricated shed we wandered past stacks of 45-gallon drums of PCBs, two drums high, about 10 deep; and there were contaminated transformers waiting to be <b>ripped</b> up and roasted in the flames.",cut
"In a large, prefabricated shed we wandered past stacks of 45-gallon drums of PCBs, two drums high, about 10 deep; and there were contaminated transformers waiting to be <b>sliced</b> up and roasted in the flames.",cut
"Back along the waste <b>line</b>, the Liverpool dockers who objected to the import of exactly this type of chemical should be aware that PCBs are moving about our roads all the time.",chain
"Back along the waste <b>hierarchy</b>, the Liverpool dockers who objected to the import of exactly this type of chemical should be aware that PCBs are moving about our roads all the time.",chain
"Back along the waste <b>progression</b>, the Liverpool dockers who objected to the import of exactly this type of chemical should be aware that PCBs are moving about our roads all the time.",chain
"Back along the waste <b>process</b>, the Liverpool dockers who objected to the import of exactly this type of chemical should be aware that PCBs are moving about our roads all the time.",chain
"Yet he did not oppose all toxic waste movement (after all, the same union represents workers at Rechem itself); he simply didn't like the idea that big industrial nations like Canada could dump their <b>filthy</b> problems on this country and his members.",dirty
"Yet he did not oppose all toxic waste movement (after all, the same union represents workers at Rechem itself); he simply didn't like the idea that big industrial nations like Canada could dump their <b>unclean</b> problems on this country and his members.",dirty
"Yet he did not oppose all toxic waste movement (after all, the same union represents workers at Rechem itself); he simply didn't like the idea that big industrial nations like Canada could dump their <b>foul</b> problems on this country and his members.",dirty
"Yet he did not oppose all toxic waste movement (after all, the same union represents workers at Rechem itself); he simply didn't like the idea that big industrial nations like Canada could dump their dirty problems on this country and his <b>people</b>.",members
"Yet he did not oppose all toxic waste movement (after all, the same union represents workers at Rechem itself); he simply didn't like the idea that big industrial nations like Canada could dump their dirty problems on this country and his <b>peers</b>.",members
"Yet he did not oppose all toxic waste movement (after all, the same union represents workers at Rechem itself); he simply didn't like the idea that big industrial nations like Canada could dump their dirty problems on this country and his <b>colleagues</b>.",members
A <b>portion</b> of the road was shut for a week and motorists were warned to clean their cars and to dispose of the rags in plastic bags.,section
A <b>part</b> of the road was shut for a week and motorists were warned to clean their cars and to dispose of the rags in plastic bags.,section
A <b>stretch</b> of the road was shut for a week and motorists were warned to clean their cars and to dispose of the rags in plastic bags.,section
THERE is much concern in the US about the addiction to â€˜crackâ€™ (purified cocaine) within inner-city <b>neighbourhoods</b>.,communities
THERE is much concern in the US about the addiction to â€˜crackâ€™ (purified cocaine) within inner-city <b>group</b>.,communities
THERE is much concern in the US about the addiction to â€˜crackâ€™ (purified cocaine) within inner-city <b>societies</b>.,communities
THERE is much concern in the US about the addiction to â€˜crackâ€™ (purified cocaine) within inner-city <b>townships</b>.,communities
"The doctors point out in the British Medical Journal that, though crack dependency is not a direct risk factor for Aids, prostitutes â€˜trying to <b>uphold</b> expensive crack habits may be tempted into unsafe sex practices â€¦ which in turn may lead to an increase in the spread of Aidsâ€™.",maintain
"The doctors point out in the British Medical Journal that, though crack dependency is not a direct risk factor for Aids, prostitutes â€˜trying to <b>fund</b> expensive crack habits may be tempted into unsafe sex practices â€¦ which in turn may lead to an increase in the spread of Aidsâ€™.",maintain
"The doctors point out in the British Medical Journal that, though crack dependency is not a direct risk factor for Aids, prostitutes â€˜trying to <b>satisfy</b> expensive crack habits may be tempted into unsafe sex practices â€¦ which in turn may lead to an increase in the spread of Aidsâ€™.",maintain
"The doctors point out in the British Medical Journal that, though crack dependency is not a direct risk factor for Aids, prostitutes â€˜trying to <b>sustain</b> expensive crack habits may be tempted into unsafe sex practices â€¦ which in turn may lead to an increase in the spread of Aidsâ€™.",maintain
"The doctors point out in the British Medical Journal that, though crack dependency is not a direct risk factor for Aids, prostitutes â€˜trying to maintain expensive crack habits may be tempted into unsafe sex practices â€¦ which in <b>consequence</b> may lead to an increase in the spread of Aidsâ€™.",turn
"The doctors point out in the British Medical Journal that, though crack dependency is not a direct risk factor for Aids, prostitutes â€˜trying to maintain expensive crack habits may be tempted into unsafe sex practices â€¦ which in <b>future</b> may lead to an increase in the spread of Aidsâ€™.",turn
"The doctors point out in the British Medical Journal that, though crack dependency is not a direct risk factor for Aids, prostitutes â€˜trying to maintain expensive crack habits may be tempted into unsafe sex practices â€¦ which in <b>sequence</b> may lead to an increase in the spread of Aidsâ€™.",turn
"The doctors point out in the British Medical Journal that, though crack dependency is not a direct risk factor for Aids, prostitutes â€˜trying to maintain expensive crack habits may be tempted into unsafe sex practices â€¦ which in <b>revolve</b> may lead to an increase in the spread of Aidsâ€™.",turn
"The doctors point out in the British Medical Journal that, though crack dependency is not a direct risk factor for Aids, prostitutes â€˜trying to maintain expensive crack habits may be tempted into unsafe sex practices â€¦ which in turn may lead to an increase in the <b>transmission</b> of Aidsâ€™.",spread
"The doctors point out in the British Medical Journal that, though crack dependency is not a direct risk factor for Aids, prostitutes â€˜trying to maintain expensive crack habits may be tempted into unsafe sex practices â€¦ which in turn may lead to an increase in the <b>escalation</b> of Aidsâ€™.",spread
"The doctors point out in the British Medical Journal that, though crack dependency is not a direct risk factor for Aids, prostitutes â€˜trying to maintain expensive crack habits may be tempted into unsafe sex practices â€¦ which in turn may lead to an increase in the <b>advancement</b> of Aidsâ€™.",spread
"The doctors point out in the British Medical Journal that, though crack dependency is not a direct risk factor for Aids, prostitutes â€˜trying to maintain expensive crack habits may be tempted into unsafe sex practices â€¦ which in turn may lead to an increase in the <b>growth</b> of Aidsâ€™.",spread
"The doctors point out in the British Medical Journal that, though crack dependency is not a direct risk factor for Aids, prostitutes â€˜trying to maintain expensive crack habits may be tempted into unsafe sex practices â€¦ which in turn may lead to an increase in the <b>contagion</b> of Aidsâ€™.",spread
FADS for vitamin supplements have been <b>superseded</b> by a vogue for minerals and trace elements.,overtaken
FADS for vitamin supplements have been <b>outstripped</b> by a vogue for minerals and trace elements.,overtaken
FADS for vitamin supplements have been <b>beaten</b> by a vogue for minerals and trace elements.,overtaken
FADS for vitamin supplements have been overtaken by a vogue for minerals and <b>minor</b> elements.,trace
FADS for vitamin supplements have been overtaken by a vogue for minerals and <b>micro</b> elements.,trace
"Zinc is the latest: lack of it supposedly causes a <b>variety</b> of problems, although little scientific evidence supports the link.",range
"Zinc is the latest: lack of it supposedly causes a <b>host</b> of problems, although little scientific evidence supports the link.",range
"Zinc is the latest: lack of it supposedly causes a range of problems, although little scientific evidence supports the <b>connection</b>.",link
"Zinc is the latest: lack of it supposedly causes a range of problems, although little scientific evidence supports the <b>hypothesis</b>.",link
"Zinc is the latest: lack of it supposedly causes a range of problems, although little scientific evidence supports the <b>claim</b>.",link
"Zinc is the latest: lack of it supposedly causes a range of problems, although little scientific evidence supports the <b>association</b>.",link
"In a study of nearly 500 women, they found that zinc supplements did not improve either foetal health or <b>decrease</b> the number of pre-term labours.",reduce
"In a study of nearly 500 women, they found that zinc supplements did not improve either foetal health or <b>lessen</b> the number of pre-term labours.",reduce
"In a study of nearly 500 women, they found that zinc supplements did not improve either foetal health or <b>lower</b> the number of pre-term labours.",reduce
"They recognise, however, that the women in their study were largely middle-class, who might well have sufficiently large zinc <b>reserves</b> because they were well nourished.",stores
"They recognise, however, that the women in their study were largely middle-class, who might well have sufficiently large zinc <b>accumulations</b> because they were well nourished.",stores
"They recognise, however, that the women in their study were largely middle-class, who might well have sufficiently large zinc <b>collections</b> because they were well nourished.",stores
"Mrs Henry refused the drug treatment <b>prescribed</b> to reduce the chances of a relapse, but there are many who would remain well without it, Dr Slevin said.",given
"Mrs Henry refused the drug treatment <b>offered</b> to reduce the chances of a relapse, but there are many who would remain well without it, Dr Slevin said.",given
"Mrs Henry refused the drug treatment <b>provided</b> to reduce the chances of a relapse, but there are many who would remain well without it, Dr Slevin said.",given
"Mrs Henry refused the drug treatment <b>administered</b> to reduce the chances of a relapse, but there are many who would remain well without it, Dr Slevin said.",given
Part of the attraction of alternative cancer treatments such as the Gerson therapy is that they <b>permit</b> a patient to feel more in control of the treatment.,allow
Part of the attraction of alternative cancer treatments such as the Gerson therapy is that they <b>empower</b> a patient to feel more in control of the treatment.,allow
Part of the attraction of alternative cancer treatments such as the Gerson therapy is that they <b>encourage</b> a patient to feel more in control of the treatment.,allow
Part of the attraction of alternative cancer treatments such as the Gerson therapy is that they <b>let</b> a patient to feel more in control of the treatment.,allow
Some of the treatments have <b>noticeable</b> side-effects.,dramatic
Some of the treatments have <b>major</b> side-effects.,dramatic
Some of the treatments have <b>powerful</b> side-effects.,dramatic
He said the NHS should <b>direct</b> itself more to the needs of cancer patients so that they do not feel they have to go outside the system.,address
He said the NHS should <b>apply</b> itself more to the needs of cancer patients so that they do not feel they have to go outside the system.,address
He said the NHS should <b>undertake</b> itself more to the needs of cancer patients so that they do not feel they have to go outside the system.,address
He said the NHS should <b>concern</b> itself more to the needs of cancer patients so that they do not feel they have to go outside the system.,address
"Media: Return of the six-gun saga: Modern actors can not ride and young viewers do not understand the cowboy code, but a revival of the western looms on the <b>skyline</b>, John Lichfield says",horizon
"Media: Return of the six-gun saga: Modern actors can not ride and young viewers do not understand the cowboy code, but a revival of the western looms on the <b>boundary</b>, John Lichfield says",horizon
"The TV western seemed to fade into the <b>dusk</b> some time in the mid-1970s, victim of a narcissistic age that preferred to look at prosperous, smart-alecky or violent images of itself (Dallas, Cheers, Miami Vice).",sunset
"The TV western seemed to fade into the <b>twilight</b> some time in the mid-1970s, victim of a narcissistic age that preferred to look at prosperous, smart-alecky or violent images of itself (Dallas, Cheers, Miami Vice).",sunset
"The TV western seemed to fade into the <b>past</b> some time in the mid-1970s, victim of a narcissistic age that preferred to look at prosperous, smart-alecky or violent images of itself (Dallas, Cheers, Miami Vice).",sunset
"The TV western seemed to fade into the <b>nightfall</b> some time in the mid-1970s, victim of a narcissistic age that preferred to look at prosperous, smart-alecky or violent images of itself (Dallas, Cheers, Miami Vice).",sunset
"The TV western seemed to fade into the sunset some time in the mid-1970s, <b>casualty</b> of a narcissistic age that preferred to look at prosperous, smart-alecky or violent images of itself (Dallas, Cheers, Miami Vice).",victim
"The TV western seemed to fade into the sunset some time in the mid-1970s, <b>suffering</b> of a narcissistic age that preferred to look at prosperous, smart-alecky or violent images of itself (Dallas, Cheers, Miami Vice).",victim
"The TV western seemed to fade into the sunset some time in the mid-1970s, <b>sufferer</b> of a narcissistic age that preferred to look at prosperous, smart-alecky or violent images of itself (Dallas, Cheers, Miami Vice).",victim
"The TV western seemed to fade into the sunset some time in the mid-1970s, victim of a <b>conceited</b> age that preferred to look at prosperous, smart-alecky or violent images of itself (Dallas, Cheers, Miami Vice).",narcissistic
"The TV western seemed to fade into the sunset some time in the mid-1970s, victim of a <b>older</b> age that preferred to look at prosperous, smart-alecky or violent images of itself (Dallas, Cheers, Miami Vice).",narcissistic
"The TV western seemed to fade into the sunset some time in the mid-1970s, victim of a <b>egotistic</b> age that preferred to look at prosperous, smart-alecky or violent images of itself (Dallas, Cheers, Miami Vice).",narcissistic
"The TV western seemed to fade into the sunset some time in the mid-1970s, victim of a <b>egotistical</b> age that preferred to look at prosperous, smart-alecky or violent images of itself (Dallas, Cheers, Miami Vice).",narcissistic
"The TV western seemed to fade into the sunset some time in the mid-1970s, victim of a narcissistic age that preferred to look at prosperous, smart-alecky or <b>brutal</b> images of itself (Dallas, Cheers, Miami Vice).",violent
"The TV western seemed to fade into the sunset some time in the mid-1970s, victim of a narcissistic age that preferred to look at prosperous, smart-alecky or <b>grotesque</b> images of itself (Dallas, Cheers, Miami Vice).",violent
"The TV western seemed to fade into the sunset some time in the mid-1970s, victim of a narcissistic age that preferred to look at prosperous, smart-alecky or <b>threatening</b> images of itself (Dallas, Cheers, Miami Vice).",violent
"The TV western seemed to fade into the sunset some time in the mid-1970s, victim of a narcissistic age that preferred to look at prosperous, smart-alecky or <b>savage</b> images of itself (Dallas, Cheers, Miami Vice).",violent
"The western is being <b>refreshed</b>, reinterpreted for the 1990s.",revived
"The western is being <b>reinvigorated</b>, reinterpreted for the 1990s.",revived
"The western is being <b>produced</b>, reinterpreted for the 1990s.",revived
"The western is being <b>rejuvenated</b>, reinterpreted for the 1990s.",revived
"â€˜The John Wayne stereotype was rejected, along with his conservative <b>views</b>,â€™ he said.",values
"â€˜The John Wayne stereotype was rejected, along with his conservative <b>morals</b>,â€™ he said.",values
"â€˜The John Wayne stereotype was rejected, along with his conservative <b>beliefs</b>,â€™ he said.",values
"â€˜The John Wayne stereotype was rejected, along with his conservative <b>thoughts</b>,â€™ he said.",values
"A series of spoof or obsessively realistic 1960s westerns (Cat Balou, Butch Cassidy and the Sundance Kid, Soldier Blue, The Wild Bunch) <b>removed</b> the mask from the Lone Ranger's face.",stripped
"A series of spoof or obsessively realistic 1960s westerns (Cat Balou, Butch Cassidy and the Sundance Kid, Soldier Blue, The Wild Bunch) <b>detached</b> the mask from the Lone Ranger's face.",stripped
"A series of spoof or obsessively realistic 1960s westerns (Cat Balou, Butch Cassidy and the Sundance Kid, Soldier Blue, The Wild Bunch) <b>unveiled</b> the mask from the Lone Ranger's face.",stripped
"A series of spoof or obsessively realistic 1960s westerns (Cat Balou, Butch Cassidy and the Sundance Kid, Soldier Blue, The Wild Bunch) <b>whisked</b> the mask from the Lone Ranger's face.",stripped
We knew that the US Government had <b>agreed</b> 453 treaties with the Indians and broken every one.,signed
We knew that the US Government had <b>ratified</b> 453 treaties with the Indians and broken every one.,signed
We knew that the US Government had <b>scribed</b> 453 treaties with the Indians and broken every one.,signed
We knew that the US Government had <b>executed</b> 453 treaties with the Indians and broken every one.,signed
A <b>section</b> of the myth just didn't work after that.â€™,part
A <b>portion</b> of the myth just didn't work after that.â€™,part
"At their peak in the mid-60s, there were 39 western series on the three American TV networks â€” almost two a day on each <b>source</b>.",channel
"At their peak in the mid-60s, there were 39 western series on the three American TV networks â€” almost two a day on each <b>broadcaster</b>.",channel
"At their peak in the mid-60s, there were 39 western series on the three American TV networks â€” almost two a day on each <b>slot</b>.",channel
"At their peak in the mid-60s, there were 39 western series on the three American TV networks â€” almost two a day on each <b>station</b>.",channel
By the mid-80s they had all <b>followed</b> the way of the buffalo: extinct save for preservation in the national park of permanent re-runs.,gone
By the mid-80s they had all <b>departed</b> the way of the buffalo: extinct save for preservation in the national park of permanent re-runs.,gone
By the mid-80s they had all <b>vanished</b> the way of the buffalo: extinct save for preservation in the national park of permanent re-runs.,gone
By the mid-80s they had all <b>perished</b> the way of the buffalo: extinct save for preservation in the national park of permanent re-runs.,gone
By the mid-80s they had all gone the <b>path</b> of the buffalo: extinct save for preservation in the national park of permanent re-runs.,way
By the mid-80s they had all gone the <b>direction</b> of the buffalo: extinct save for preservation in the national park of permanent re-runs.,way
By the mid-80s they had all gone the <b>route</b> of the buffalo: extinct save for preservation in the national park of permanent re-runs.,way
By the mid-80s they had all gone the way of the buffalo: extinct save for <b>conservation</b> in the national park of permanent re-runs.,preservation
By the mid-80s they had all gone the way of the buffalo: extinct save for <b>rescuees</b> in the national park of permanent re-runs.,preservation
By the mid-80s they had all gone the way of the buffalo: extinct save for <b>captivity</b> in the national park of permanent re-runs.,preservation
"It was the only new drama series in US network TV to be allowed a second series this year, despite a relatively <b>poor</b> 49th ranking in the ratings.",lowly
"It was the only new drama series in US network TV to be allowed a second series this year, despite a relatively <b>humble</b> 49th ranking in the ratings.",lowly
"It was the only new drama series in US network TV to be allowed a second series this year, despite a relatively <b>measly</b> 49th ranking in the ratings.",lowly
"The 1989-90 season, which started this month, brought another new prime-time western series, ABC's Young Riders, which <b>shares</b> the story of the Pony Express.",tells
"The 1989-90 season, which started this month, brought another new prime-time western series, ABC's Young Riders, which <b>speaks</b> the story of the Pony Express.",tells
"The 1989-90 season, which started this month, brought another new prime-time western series, ABC's Young Riders, which <b>describes</b> the story of the Pony Express.",tells
"The 1989-90 season, which started this month, brought another new prime-time western series, ABC's Young Riders, which <b>illustrates</b> the story of the Pony Express.",tells
"The 1989-90 season, which started this month, brought another new prime-time western series, ABC's Young Riders, which <b>relates</b> the story of the Pony Express.",tells
"Because the networks believe westerns <b>attract</b> mainly to middle-aged men, Young Riders has a cast of five pouting young male actors, in an attempt to make a western with â€˜good demographicsâ€™.",appeal
"Because the networks believe westerns <b>target</b> mainly to middle-aged men, Young Riders has a cast of five pouting young male actors, in an attempt to make a western with â€˜good demographicsâ€™.",appeal
"Because the networks believe westerns <b>interest</b> mainly to middle-aged men, Young Riders has a cast of five pouting young male actors, in an attempt to make a western with â€˜good demographicsâ€™.",appeal
David Jacobs also <b>declares</b> out that the cost of hiring a stage-coach is now prohibitive.,points
David Jacobs also <b>calls</b> out that the cost of hiring a stage-coach is now prohibitive.,points
"In the inert 1950s the western represented a <b>challenging</b>, adventurous American past.",troubled
"In the inert 1950s the western represented a <b>problematic</b>, adventurous American past.",troubled
"In the inert 1950s the western represented a <b>difficult</b>, adventurous American past.",troubled
"In the inert 1950s the western represented a <b>restless</b>, adventurous American past.",troubled
"In the inert 1950s the western represented a <b>concerning</b>, adventurous American past.",troubled
"In the anxious and eventful late 1980s and 1990s, they may <b>begin</b> to represent, like All Creatures Great and Small in Britain, a less confusing past with simpler, deeper values.",come
"In the anxious and eventful late 1980s and 1990s, they may <b>grow</b> to represent, like All Creatures Great and Small in Britain, a less confusing past with simpler, deeper values.",come
"In the anxious and eventful late 1980s and 1990s, they may <b>transpire</b> to represent, like All Creatures Great and Small in Britain, a less confusing past with simpler, deeper values.",come
"In the anxious and eventful late 1980s and 1990s, they may <b>happen</b> to represent, like All Creatures Great and Small in Britain, a less confusing past with simpler, deeper values.",come
But there is a puff of dust on the <b>stretch</b>.,horizon
But there is a puff of dust on the <b>skyline</b>.,horizon
But there is a puff of dust on the <b>yonder</b>.,horizon
But there is a puff of dust on the <b>boundary</b>.,horizon
"As long as you can <b>demonstrate</b> that they owed you a legal duty to be careful and have been negligent, damages could come your way.",show
"As long as you can <b>appear</b> that they owed you a legal duty to be careful and have been negligent, damages could come your way.",show
"As long as you can <b>display</b> that they owed you a legal duty to be careful and have been negligent, damages could come your way.",show
"As long as you can <b>prove</b> that they owed you a legal duty to be careful and have been negligent, damages could come your way.",show
"The <b>recipient</b> of a bad reference can sue the referee for libel but has to show the referee was up to no good: spite, ill-will or some improper motive will do.",subject
"The <b>receiver</b> of a bad reference can sue the referee for libel but has to show the referee was up to no good: spite, ill-will or some improper motive will do.",subject
"The <b>individual</b> of a bad reference can sue the referee for libel but has to show the referee was up to no good: spite, ill-will or some improper motive will do.",subject
"The subject of a bad reference can sue the referee for libel but has to show the referee was up to no good: spite, <b>bad</b>-will or some improper motive will do.",ill
"The subject of a bad reference can sue the referee for libel but has to show the referee was up to no good: spite, <b>inimical</b>-will or some improper motive will do.",ill
"Take along a prosperous adviser on all shopping sprees, demonstrate a high degree of trust and <b>trusty</b> reliance in what they say and you may have unexpected protection should the seller go out of business and the goods fall to pieces.",strong
"Take along a prosperous adviser on all shopping sprees, demonstrate a high degree of trust and <b>solid</b> reliance in what they say and you may have unexpected protection should the seller go out of business and the goods fall to pieces.",strong
"Take along a prosperous adviser on all shopping sprees, demonstrate a high degree of trust and <b>compelling</b> reliance in what they say and you may have unexpected protection should the seller go out of business and the goods fall to pieces.",strong
"Take along a prosperous adviser on all shopping sprees, demonstrate a high degree of trust and <b>robust</b> reliance in what they say and you may have unexpected protection should the seller go out of business and the goods fall to pieces.",strong
"Take along a prosperous adviser on all shopping sprees, demonstrate a high degree of trust and <b>secure</b> reliance in what they say and you may have unexpected protection should the seller go out of business and the goods fall to pieces.",strong
"You can sue the solicitor for what you would have collected, had he done his job properly, because the law <b>thinks</b> he owed you, as well as his client, a duty of care.",reckons
"You can sue the solicitor for what you would have collected, had he done his job properly, because the law <b>accounts</b> he owed you, as well as his client, a duty of care.",reckons
"You can sue the solicitor for what you would have collected, had he done his job properly, because the law <b>deems</b> he owed you, as well as his client, a duty of care.",reckons
"You can sue the solicitor for what you would have collected, had he done his job properly, because the law <b>calculates</b> he owed you, as well as his client, a duty of care.",reckons
"You can sue the solicitor for what you would have collected, had he done his job properly, because the law <b>considers</b> he owed you, as well as his client, a duty of care.",reckons
This is what the House of Lords decided in two cases last April in spite of an attempt to get the valuers off the hook by a disclaimer which <b>states</b>: â€˜I accept that the valuer does not warrant anything stated in his report as being accurate â€¦,said
This is what the House of Lords decided in two cases last April in spite of an attempt to get the valuers off the hook by a disclaimer which <b>stated</b>: â€˜I accept that the valuer does not warrant anything stated in his report as being accurate â€¦,said
This is what the House of Lords decided in two cases last April in spite of an attempt to get the valuers off the hook by a disclaimer which <b>stipulated</b>: â€˜I accept that the valuer does not warrant anything stated in his report as being accurate â€¦,said
This is what the House of Lords decided in two cases last April in spite of an attempt to get the valuers off the hook by a disclaimer which <b>exclaimed</b>: â€˜I accept that the valuer does not warrant anything stated in his report as being accurate â€¦,said
Disclaimers may also be used by referees and others to <b>cheat</b> you of a claim for damages.,rob
Disclaimers may also be used by referees and others to <b>stop</b> you of a claim for damages.,rob
Disclaimers may also be used by referees and others to <b>defraud</b> you of a claim for damages.,rob
Whoever attempts to hide behind a disclaimer must prove it is <b>just</b> and reasonable to do so.,fair
Whoever attempts to hide behind a disclaimer must prove it is <b>OK</b> and reasonable to do so.,fair
Whoever attempts to hide behind a disclaimer must prove it is <b>unbiased</b> and reasonable to do so.,fair
Whoever attempts to hide behind a disclaimer must prove it is <b>reasonable</b> and reasonable to do so.,fair
Have we yet <b>approached</b> the point at which we would be awarded damages against the Meteorological Office because we went camping on the day of an unforecast hurricane?,reached
Have we yet <b>passed</b> the point at which we would be awarded damages against the Meteorological Office because we went camping on the day of an unforecast hurricane?,reached
Have we yet <b>met</b> the point at which we would be awarded damages against the Meteorological Office because we went camping on the day of an unforecast hurricane?,reached
"IT WAS unfair of Auden to suggest, in his â€˜Letter to Lord Byronâ€™, that a poet's â€˜<b>feel</b> of other people's very hazyâ€™.",sense
"IT WAS unfair of Auden to suggest, in his â€˜Letter to Lord Byronâ€™, that a poet's â€˜<b>impression</b> of other people's very hazyâ€™.",sense
"IT WAS unfair of Auden to suggest, in his â€˜Letter to Lord Byronâ€™, that a poet's â€˜<b>awareness</b> of other people's very hazyâ€™.",sense
"IT WAS unfair of Auden to suggest, in his â€˜Letter to Lord Byronâ€™, that a poet's â€˜<b>understanding</b> of other people's very hazyâ€™.",sense
"IT WAS unfair of Auden to suggest, in his â€˜Letter to Lord Byronâ€™, that a poet's â€˜<b>perception</b> of other people's very hazyâ€™.",sense
But the vaporous presences that float through this <b>slim</b> and anaemic first novel by a notable poet would appear to support the claim.,slender
But the vaporous presences that float through this slender and <b>deficient</b> first novel by a notable poet would appear to support the claim.,anaemic
But the vaporous presences that float through this slender and <b>feeble</b> first novel by a notable poet would appear to support the claim.,anaemic
But the vaporous presences that float through this slender and <b>pallid</b> first novel by a notable poet would appear to support the claim.,anaemic
But the vaporous presences that float through this slender and <b>underdeveloped</b> first novel by a notable poet would appear to support the claim.,anaemic
But the vaporous presences that float through this slender and <b>bloodless</b> first novel by a notable poet would appear to support the claim.,anaemic
But the vaporous presences that float through this slender and <b>sickly</b> first novel by a notable poet would appear to support the claim.,anaemic
But the vaporous presences that float through this slender and anaemic first novel by a notable poet would appear to <b>reinforce</b> the claim.,support
But the vaporous presences that float through this slender and anaemic first novel by a notable poet would appear to <b>back</b> the claim.,support
But the vaporous presences that float through this slender and anaemic first novel by a notable poet would appear to <b>standby</b> the claim.,support
The book â€” which <b>starts</b> a projected sequence of novels that will cover the period from 1968 to the present day â€” aims to explore what the blurb describes as â€˜the painful transition from youth to adulthoodâ€™.,opens
The book â€” which <b>extends</b> a projected sequence of novels that will cover the period from 1968 to the present day â€” aims to explore what the blurb describes as â€˜the painful transition from youth to adulthoodâ€™.,opens
The book â€” which <b>portrays</b> a projected sequence of novels that will cover the period from 1968 to the present day â€” aims to explore what the blurb describes as â€˜the painful transition from youth to adulthoodâ€™.,opens
The book â€” which <b>exposes</b> a projected sequence of novels that will cover the period from 1968 to the present day â€” aims to explore what the blurb describes as â€˜the painful transition from youth to adulthoodâ€™.,opens
The book â€” which <b>launches</b> a projected sequence of novels that will cover the period from 1968 to the present day â€” aims to explore what the blurb describes as â€˜the painful transition from youth to adulthoodâ€™.,opens
The book â€” which <b>begins</b> a projected sequence of novels that will cover the period from 1968 to the present day â€” aims to explore what the blurb describes as â€˜the painful transition from youth to adulthoodâ€™.,opens
The book â€” which opens a projected sequence of novels that will cover the period from 1968 to the present day â€” <b>focuses</b> to explore what the blurb describes as â€˜the painful transition from youth to adulthoodâ€™.,aims
The book â€” which opens a projected sequence of novels that will cover the period from 1968 to the present day â€” <b>attempts</b> to explore what the blurb describes as â€˜the painful transition from youth to adulthoodâ€™.,aims
